"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"419",23.83888889,0.36,12.6224,9.982,1020.66,43.1,144.1,67.9,29,9.656
"420",22.73333333,0.38,9.9176,10.3523,1020.53,18.7,37.8,68.8,30,6.111
"421",21.22777778,0.45,11.4471,11.2056,1020.16,13.5,6.5,65.2,47,7.33
"423",17.9,0.6,11.3022,11.3988,1019.43,24.9,46,62.2,28,6.051
"424",17.08333333,0.67,8.3076,9.982,1018.97,14.3,43.2,66.5,92,9.84
"426",15.55555556,0.71,10.7065,10.3523,1017.97,19.8,55.1,68.8,47,7.893
"427",14.26111111,0.77,12.4936,9.982,1017.68,4.9,35.6,65.2,25,7.637
"428",13.67777778,0.77,5.2164,9.982,1017.89,14.4,68.9,69.7,28,6.504
"429",12.8,0.82,4.8622,10.3523,1017.96,27.3,15.8,69.5,15,11.34
"430",10.77222222,0.85,4.6046,9.982,1018.31,36.5,15,71.4,91,9.438
"431",12.18333333,0.83,6.44,15.8263,1018.6,33.6,61.4,70.6,21,13.252
"433",12.15,0.74,3.542,15.8263,1018.44,58.7,201.6,73.7,14,14.928
"435",13.74444444,0.77,6.0858,14.9569,1014.58,33,64.4,74.9,23,11.67
